249,8,2
249,12,5
249,16,10
249,16,15
250,8,5
250,13,14
250,14,10
251,5,5
251,8,8
251,20,10
252,7,19
252,17,10
252,17,15
253,8,14
253,15,14
253,16,12
254,8,13
254,16,11
255,8,15
255,19,16
256,16,12
256,17,17
257,7,8
257,14,14
257,14,19
258,7,19
258,9,18
258,13,17
258,17,9
258,18,15
259,9,12
259,10,16
259,20,17
259,21,15
260,8,13
260,9,17
260,20,20
261,10,17
261,19,17
261,20,15
262,8,12
262,10,17
262,19,15
262,20,13
263,9,5
263,13,6
263,19,9
263,19,14
264,7,18
264,12,11
264,16,9
264,16,16
265,8,17
265,18,16
266,7,3
266,9,3
266,12,4
266,13,12
266,19,8
266,20,14
267,10,14
267,16,12
267,17,10
268,7,14
268,20,17
269,6,8
269,19,18
270,3,16
270,4,10
270,19,15
271,2,9
271,21,23
272,4,20
272,10,20
272,11,11
272,17,8
272,18,17
273,2,21
273,9,21
273,21,7
273,21,18
274,4,8
274,4,15
274,17,17
274,18,15
275,3,6
275,5,3
275,5,18
275,19,23
275,20,21
275,21,12
275,21,19
276,3,21
276,4,2
276,7,5
276,10,11
276,18,8
276,19,6
276,19,16
277,1,3
277,1,21
277,5,4
277,12,5
277,17,9
277,18,14
278,14,11
278,16,20
278,17,17
279,5,20
279,8,19
279,12,18
279,15,12
279,18,16
279,19,10
280,19,17
281,6,12
281,16,18
281,17,12
282,11,6
282,15,14
282,16,9
283,6,7
283,10,7
283,13,15
283,15,11
284,7,5
284,20,17
285,7,6
285,18,17
286,7,7
286,17,16
287,5,5
287,10,5
287,14,6
287,15,14
287,20,17
287,21,9
288,5,12
288,5,18
288,19,17
289,5,17
289,16,19
289,17,17
290,6,9
290,21,20
291,4,8
291,12,12
291,20,19
291,21,15
292,6,10
292,9,17
292,21,21
293,5,14
293,6,2
293,8,18
293,9,16
293,10,14
293,12,11
293,13,9
293,14,7
293,16,22
293,17,18
294,1,4
294,3,4
294,11,7
294,18,12
294,19,18
295,4,7
295,9,15
295,14,22
295,15,13
295,16,8
296,3,8
296,5,21
296,17,20
296,18,18
296,19,16
297,3,4
297,12,8
297,12,17
297,17,21
297,19,13
298,21,5
298,21,23
299,7,5
299,9,5
299,12,6
299,18,15
299,19,11
300,7,10
300,19,20
301,5,9
301,17,17
301,18,13
302,7,10
302,19,20
303,9,4
303,16,7
303,21,10
303,21,15
